First Name,Last Name,Email,Company,Address1,Address2,City,Province,Province Code,Country,Country Code,Zip,Phone,Accepts Marketing,Total Spent,Total Orders,Tags,Note,Tax Exempt
Shannon,Home,braunann@example.org,Hernandez PLC,564 Nicholas Skyway,"",Chrisport,Texas,TX,United States,US,79338,+16135550109,no,155.63,1,,"",yes
Kathleen,Obrien,williamcastillo@example.org,"Mejia, Garza and Brooks",54884 Barnes Way,"",West Meganstad,New Jersey,NJ,United States,US,07175,+61491570159,no,839.19,9,,"",yes
Colin,Lam,erinwiley@example.net,"Hancock, Mcgee and Clark",9379 Taylor Roads,"",Reyesmouth,California,CA,United States,US,96118,+12025550188,yes,0.00,0,,"",yes
Brian,Gonzalez,mcphersonrobert@example.net,Thompson Ltd,9175 Davidson Square Suite 831,"",Lake Justin,Louisiana,LA,United States,US,71240,+12025550191,yes,0.00,0,,"",no
Michael,Weiss,thompsonjohn@example.com,"Brooks, Martin and Davis",32315 Love Radial Suite 593,"",New Matthew,New Mexico,NM,United States,US,88040,+12025550124,yes,0.00,0,,"",yes
Pamela,Norris,eric21@example.org,"Young, Blake and Norman",66617 Christopher Radial,"",West Brenda,Virginia,VA,United States,US,22965,+12025550105,no,0.00,0,,"",yes
Larry,Hill,andrew83@gmail.com,"Schultz, Bruce and Hahn",4469 Moore Port,"",Lake Heather,New York,NY,United States,US,13774,+15055054315,no,0.00,0,,"",no
Steven,Ewing,egnition_sample_86@egnition.com,,Ap #417-5876 Mus. St.,,Neuruppin,Brandenburg,,Pakistan,PK,82-623,+92515762300,no,0.00,1,"egnition-sample-data, referral",,no
Brady,Poole,egnition_sample_47@egnition.com,,"P.O. Box 879, 8424 Eget Street",,Bremerhaven,Bremen,,Bangladesh,BD,N27 2TJ,+8801972545289,no,0.00,1,egnition-sample-data,,no
Gabriel,Davis,egnition_sample_33@egnition.com,,"P.O. Box 955, 9257 Enim, Road",,Bayswater,Western Australia,,Slovenia,SI,709495,+38612431234,no,0.50,4,egnition-sample-data,,no
Chase,Wynn,egnition_sample_79@egnition.com,,692-9631 Vulputate Rd.,,Darwin,Alabama,AL,United States,US,17574,+19035721111,no,0.40,4,"egnition-sample-data, VIP",,no
Zeph,Foreman,egnition_sample_100@egnition.com,,"P.O. Box 649, 6067 Vel Road",,Fuenlabrada,Madrid,,Anguilla,AI,652374,+18008620673,no,0.30,1,egnition-sample-data,,no
Maxwell,Gomez,egnition_sample_53@egnition.com,,3740 Duis Road,,Halberstadt,Saxony-Anhalt,,Turkey,TR,4798,+902123144587,no,0.00,1,"egnition-sample-data, VIP",,no
Calvin,Peterson,egnition_sample_28@egnition.com,,8783 Est Rd.,,Lorrach,Baden,,Kiribati,KI,56002,+68626333,no,0.00,0,egnition-sample-data,,no
Chancellor,Cardenas,egnition_sample_34@egnition.com,,Ap #332-1748 Enim Rd.,,Oklahoma City,Oklahoma,,Senegal,SN,4378,+221339512345,no,0.30,1,"egnition-sample-data, VIP",,no
Oleg,Haley,egnition_sample_21@egnition.com,,7334 At Avenue,,Georgia,Georgia,,Vietnam,VN,65678,+842862961234,no,0.20,1,"egnition-sample-data, referral",,no
Chase,Vazquez,egnition_sample_69@egnition.com,,"P.O. Box 299, 6625 Porttitor Av.",,Kalgoorlie-Boulder,Western Australia,,Zimbabwe,ZW,521496,+2631356478,no,0.60,2,"egnition-sample-data, VIP",,no
